Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
CD71,0.794794657061512,-0.14128813987797,1,IDH-NPM1,IDH-only
CD304,0.798309792766931,0.210529191318685,1,IDH-NPM1,IDH-only
CD45RA,0.816154111938851,-0.018354229005018,1,IDH-NPM1,IDH-only
CD13,0.838599187400451,-0.0512133687721654,1,IDH-NPM1,IDH-only
CD5,0.906166362582206,0.198179986690604,1,IDH-NPM1,IDH-only
CD11c,0.936929235800101,-0.00792130044259398,1,IDH-NPM1,IDH-only
CD3,0.94981736511288,0.214483671837494,1,IDH-NPM1,IDH-only
CD64,0.977281884458536,-0.327892801204049,1,IDH-NPM1,IDH-only
CD117,NA,-0.813250275648352,NA,IDH-NPM1,IDH-only
CD1c,NA,-1.49957238817257,NA,IDH-NPM1,IDH-only
CD34,NA,1.6686904845922,NA,IDH-NPM1,IDH-only
CD45RO,NA,1.22168288855983,NA,IDH-NPM1,IDH-only
CD62P,NA,2.11995892643462,NA,IDH-NPM1,IDH-only
IgG2a,NA,1.16149176487011,NA,IDH-NPM1,IDH-only
IgG2b,NA,2.05449090106302,NA,IDH-NPM1,IDH-only
CD14,1.48714963373348e-08,-3.36595130574261,6.69217335180067e-07,IDH-NPM1,TET2-NPM1
IgG1,0.00201703402383319,1.15454118390536,0.0907665310724937,IDH-NPM1,TET2-NPM1
CD11b,0.00619875252760076,-1.31563689527708,0.278943863742034,IDH-NPM1,TET2-NPM1
CD163,0.0063675184043965,-1.60602125510045,0.286538328197842,IDH-NPM1,TET2-NPM1
CD38,0.0214552394859197,0.269060640095105,0.965485776866387,IDH-NPM1,TET2-NPM1
CD16,0.0662400725042256,-0.936986957693116,1,IDH-NPM1,TET2-NPM1
CD45RA,0.0691250646323188,0.514419252685431,1,IDH-NPM1,TET2-NPM1
CD123,0.0698016477260988,0.402125220905843,1,IDH-NPM1,TET2-NPM1
CD30,0.0780583533152665,-0.779921341868853,1,IDH-NPM1,TET2-NPM1
CD45,0.0971676254150959,-0.967365696711055,1,IDH-NPM1,TET2-NPM1
CD69,0.0989426703673911,0.484758348171759,1,IDH-NPM1,TET2-NPM1
CD71,0.107954779724584,0.507350745153975,1,IDH-NPM1,TET2-NPM1
CD3,0.109975188887294,1.09189214462452,1,IDH-NPM1,TET2-NPM1
CD25,0.12303353903625,-0.743539545489073,1,IDH-NPM1,TET2-NPM1
CD64,0.209447020416768,-0.913696556738934,1,IDH-NPM1,TET2-NPM1
CD44,0.287222153144147,0.00366541165484691,1,IDH-NPM1,TET2-NPM1
CD33,0.290658212308968,-0.169653208714644,1,IDH-NPM1,TET2-NPM1
CD62L,0.296278978227991,0.549073480066552,1,IDH-NPM1,TET2-NPM1
HLA-DR,0.304770546403119,-0.465129007693606,1,IDH-NPM1,TET2-NPM1
CD11c,0.394499528005077,0.0935146457921627,1,IDH-NPM1,TET2-NPM1
CD141,0.445358932972861,-0.203830425936889,1,IDH-NPM1,TET2-NPM1
CD7,0.466294357352275,0.25147871129238,1,IDH-NPM1,TET2-NPM1
CD49d,0.576486383170318,-0.268757370653629,1,IDH-NPM1,TET2-NPM1
CD10,0.595920799277062,0.119035319391061,1,IDH-NPM1,TET2-NPM1
CD19,0.650121640685764,0.136089405131045,1,IDH-NPM1,TET2-NPM1
CD4,0.668035829380333,-0.632751817607463,1,IDH-NPM1,TET2-NPM1
CD1c,0.669848187672549,0.29803210241733,1,IDH-NPM1,TET2-NPM1
CD22,0.722229851436913,-0.0761787503530238,1,IDH-NPM1,TET2-NPM1
CD83,0.752296434590498,-0.1492860251445,1,IDH-NPM1,TET2-NPM1
CD138,0.757931514736163,-0.188718779868487,1,IDH-NPM1,TET2-NPM1
CD303,0.771658022771503,0.140335429235016,1,IDH-NPM1,TET2-NPM1
CD5,0.77700318502384,0.264338716981337,1,IDH-NPM1,TET2-NPM1
CD13,0.890181267570892,-0.386652927916938,1,IDH-NPM1,TET2-NPM1
CD8,0.94918368088316,0.878879684705841,1,IDH-NPM1,TET2-NPM1
CD2,0.962547835461709,0.339805480985793,1,IDH-NPM1,TET2-NPM1
CD304,0.968297767082919,-0.211569402966881,1,IDH-NPM1,TET2-NPM1
CD90,0.997426821516299,-0.143805714102277,1,IDH-NPM1,TET2-NPM1
CD34,NA,0.814692887364682,NA,IDH-NPM1,TET2-NPM1
IgG2a,NA,0.850949893162132,NA,IDH-NPM1,TET2-NPM1
CD117,NA,1.69220341805443,NA,IDH-NPM1,TET2-NPM1
CD45RO,NA,0.174573695697315,NA,IDH-NPM1,TET2-NPM1
